hex_name,bits
5F2E0DD16751C93,010111110010111000001101110100010110011101010001110010010011
297BE3BAC78F17B,001010010111101111100011101110101100011110001111000101111011
1363DDD80979681,000100110110001111011101110110000000100101111001011010000001
2CB6AF31119BB7E,001011001011011010101111001100010001000110011011101101111110
62B2B0331AA97EE,011000101011001010110000001100110001101010101001011111101110
CD150992A1F1193,110011010001010100001001100100101010000111110001000110010011
34EDE1DA4CF2122,001101001110110111100001110110100100110011110010000100100010
18EDA5F00263F15,000110001110110110100101111100000000001001100011111100010101
DECE6C2D1B43514,110111101100111001101100001011010001101101000011010100010100
0524B03686AD9ED,000001010010010010110000001101101000011010101101100111101101
